Cell Type,Point Index 0,Point Index 1,Point Index 2,vtkOriginalIndices
5,0,1,2,0
5,3,4,5,1
5,6,7,8,2
5,9,10,11,3
5,13,14,15,4
5,16,17,18,5
5,19,20,21,6
5,21,20,22,7
5,23,24,25,8
5,25,24,26,9
5,27,28,29,10
5,30,31,32,11
5,33,34,35,12
5,36,37,38,13
5,40,41,42,14
5,43,44,45,15
5,45,44,46,16
5,47,48,49,17
5,50,51,52,18
5,56,57,58,19
5,59,60,61,20
5,64,65,66,21
5,68,69,70,22
5,70,69,71,23
5,72,56,58,24
5,73,74,75,25
5,79,80,81,26
5,82,83,84,27
5,84,83,85,28
5,86,87,88,29
5,88,87,89,30
5,90,91,92,31
5,93,94,95,32
5,95,94,96,33
5,97,98,99,34
5,100,101,102,35
5,70,103,68,36
5,104,44,105,37
5,46,44,104,38
5,107,108,109,39
5,110,111,112,40
5,113,114,115,41
5,116,17,16,42
5,117,118,119,43
5,119,118,120,44
5,121,122,123,45
5,124,125,126,46
5,126,125,127,47
5,128,129,130,48
5,130,129,131,49
5,132,133,134,50
5,135,136,137,51
5,138,136,135,52
5,140,141,142,53
5,143,144,145,54
5,146,147,148,55
5,149,104,150,56
5,150,104,151,57
5,69,68,152,58
5,154,155,156,59
5,157,158,52,60
5,52,158,50,61
5,108,159,160,62
5,161,162,163,63
5,164,14,13,64
5,164,13,165,65
5,66,65,166,66
5,167,168,169,67
5,170,171,172,68
5,155,173,156,69
5,174,175,176,70
5,177,134,178,71
5,179,180,181,72
5,182,13,15,73
5,183,184,185,74
5,186,187,188,75
5,34,190,191,76
5,191,190,192,77
5,193,184,183,78
5,194,195,196,79
5,105,198,199,80
5,148,147,201,81
5,202,203,204,82
5,205,206,207,83
5,207,206,208,84
5,209,210,211,85
5,212,210,209,86
5,213,214,126,87
5,73,75,215,88
5,215,75,216,89
5,217,218,219,90
5,220,221,43,91
5,43,221,222,92
5,224,225,226,93
5,227,228,229,94
5,230,231,232,95
5,233,231,230,96
5,236,237,36,97
5,36,237,37,98
5,190,33,238,99
5,34,33,190,100
5,239,240,241,101
5,242,233,230,102
5,243,244,245,103
5,247,248,249,104
5,250,8,251,105
5,251,8,7,106
5,252,253,254,107
5,55,54,255,108
5,256,257,258,109
5,261,262,263,110
5,264,265,266,111
5,266,265,267,112
5,140,142,268,113
5,269,270,271,114
5,272,273,274,115
5,272,274,19,116
5,275,276,277,117
5,278,279,280,118
5,280,279,281,119
5,282,283,141,120
5,285,286,287,121
5,288,289,290,122
5,291,292,293,123
5,294,295,296,124
5,297,17,116,125
5,298,299,300,126
5,301,10,9,127
5,65,64,115,128
5,303,304,305,129
5,21,306,19,130
5,82,307,83,131
5,308,309,310,132
5,311,312,313,133
5,314,312,311,134
5,58,57,275,135
5,264,266,315,136
5,110,316,317,137
5,34,191,35,138
5,318,319,246,139
5,320,321,322,140
5,323,324,325,141
5,263,326,327,142
5,330,331,332,143
5,333,293,334,144
5,211,210,335,145
5,336,309,308,146
5,337,262,261,147
5,339,340,341,148
5,342,343,344,149
5,345,346,347,150
5,347,346,348,151
5,349,350,22,152
5,351,55,255,153
5,352,353,354,154
5,355,351,255,155
5,356,357,358,156
5,359,357,356,157
5,360,361,185,158
5,185,361,362,159
5,364,84,85,160
5,364,85,283,161
5,365,143,145,162
5,366,367,79,163
5,79,367,80,164
5,368,369,370,165
5,364,283,282,166
5,350,349,371,167
5,350,371,372,168
5,373,374,375,169
5,376,377,378,170
5,379,380,381,171
5,372,380,379,172
5,384,162,385,173
5,103,386,68,174
5,387,388,389,175
5,387,389,390,176
5,392,393,394,177
5,396,397,398,178
5,398,397,303,179
5,25,399,23,180
5,96,400,95,181
5,13,182,401,182
5,401,182,402,183
5,403,404,405,184
5,406,407,408,185
5,409,410,411,186
5,414,415,288,187
5,414,288,416,188
5,348,346,417,189
5,418,419,420,190
5,118,117,421,191
5,370,369,422,192
5,422,369,423,193
5,320,322,424,194
5,111,425,112,195
5,426,427,428,196
5,429,427,426,197
5,32,430,30,198
5,30,430,285,199
5,431,247,249,200
5,432,433,434,201
5,404,435,405,202
5,436,437,438,203
5,439,440,368,204
5,368,440,109,205
5,441,442,443,206
5,174,176,444,207
5,444,176,445,208
5,446,447,448,209
5,448,447,449,210
5,450,451,452,211
5,452,451,453,212
5,454,341,455,213
5,455,341,340,214
5,456,457,458,215
5,459,460,461,216
5,462,317,463,217
5,464,465,466,218
5,467,468,469,219
5,470,471,472,220
5,473,304,474,221
5,475,476,477,222
5,37,479,299,223
5,299,479,300,224
5,480,481,482,225
5,371,349,483,226
5,484,485,486,227
