vtkOriginalIndices,Heat[W/m^3],Points:0,Points:1,Points:2,__vtkIsSelected__
0,5.31E+06,0.111,0.107502,0.101581,0
1,5.38E+06,0.111,0.107501,0.101571,0
2,5.38E+06,0.111,0.107485,0.101571,0
3,2.43E+07,0.111,0.0900298,0.101161,0
4,9.07E+06,0.111,0.0899452,0.101358,0
5,1.44E+07,0.111,0.0901581,0.101274,0
6,301407,0.111,0.0924044,0.105369,0
7,297817,0.111,0.0921096,0.105369,0
8,281821,0.111,0.0924074,0.105573,0
9,1.02E+07,0.111,0.0930579,0.0989446,0
10,7.78E+06,0.111,0.0930597,0.0987206,0
11,9.66E+06,0.111,0.0928398,0.0988984,0
12,143516,0.111,0.099009,0.090022,0
13,5.14E+06,0.111,0.0971904,0.0985457,0
14,5.79E+06,0.111,0.0970945,0.0986449,0
15,6.46E+06,0.111,0.0971959,0.0986923,0
16,3.18E+06,0.111,0.0973201,0.0981359,0
17,2.47E+06,0.111,0.0973157,0.0979327,0
18,2.43E+06,0.111,0.0971073,0.0978753,0
19,925816,0.111,0.0898498,0.0969132,0
20,939382,0.111,0.0904059,0.0967849,0
21,711196,0.111,0.090069,0.0964749,0
22,666068,0.111,0.0904925,0.0962794,0
23,329777,0.111,0.0921986,0.0946703,0
24,404361,0.111,0.0923049,0.0951676,0
25,272817,0.111,0.092711,0.0942408,0
26,407638,0.111,0.0931374,0.0951201,0
27,1.50E+07,0.111,0.091495,0.100986,0
28,1.33E+07,0.111,0.0915348,0.101033,0
29,1.45E+07,0.111,0.0915355,0.100988,0
30,3.14E+06,0.111,0.109514,0.10215,0
31,2.77E+06,0.111,0.109474,0.102242,0
32,2.60E+06,0.111,0.109651,0.102278,0
33,2.54E+06,0.111,0.100907,0.0978839,0
34,2.71E+06,0.111,0.10123,0.0979102,0
35,2.12E+06,0.111,0.101194,0.0977112,0
36,642431,0.111,0.088826,0.103104,0
37,1.43E+06,0.111,0.0891797,0.102352,0
38,849218,0.111,0.0886571,0.102469,0
39,1.87E+07,0.111,0.092,0.0992,0
